event_id,t0_idx,target_idx_10,target_idx_20,target_idx_30,event_datetime,year,season,t0_datetime,target_datetime_10,target_datetime_20,target_datetime_30,mean_intensity,max_intensity,mean_intensity_wet,wet_fraction,split
200500700,2,3,4,5,2020-02-19 07:00:00,2020,DJF,2020-02-19 07:20:00,2020-02-19 07:30:00,2020-02-19 07:40:00,2020-02-19 07:50:00,0.031277776,0.72500914,0.19329962134361267,0.10575614270112067,train
200500700,3,4,5,6,2020-02-19 07:00:00,2020,DJF,2020-02-19 07:30:00,2020-02-19 07:40:00,2020-02-19 07:50:00,2020-02-19 08:00:00,0.029852392,0.67331463,0.1857287436723709,0.1007634327033265,train
200500700,4,5,6,7,2020-02-19 07:00:00,2020,DJF,2020-02-19 07:40:00,2020-02-19 07:50:00,2020-02-19 08:00:00,2020-02-19 08:10:00,0.028258536,0.67331463,0.17667852342128754,0.09680907726326322,train
200500700,5,6,7,8,2020-02-19 07:00:00,2020,DJF,2020-02-19 07:50:00,2020-02-19 08:00:00,2020-02-19 08:10:00,2020-02-19 08:20:00,0.026693307,0.5868291,0.16947771608829498,0.09235078809138238,train
200500700,6,7,8,9,2020-02-19 07:00:00,2020,DJF,2020-02-19 08:00:00,2020-02-19 08:10:00,2020-02-19 08:20:00,2020-02-19 08:30:00,0.02552559,0.5868291,0.16647721827030182,0.08824220382236425,train
200500700,7,8,9,10,2020-02-19 07:00:00,2020,DJF,2020-02-19 08:10:00,2020-02-19 08:20:00,2020-02-19 08:30:00,2020-02-19 08:40:00,0.0245602,0.5868291,0.1664162278175354,0.08381260838610291,train
200500700,8,9,10,11,2020-02-19 07:00:00,2020,DJF,2020-02-19 08:20:00,2020-02-19 08:30:00,2020-02-19 08:40:00,2020-02-19 08:50:00,0.023608668,0.51777136,0.16640420258045197,0.07950496132622446,train
200500700,9,10,11,12,2020-02-19 07:00:00,2020,DJF,2020-02-19 08:30:00,2020-02-19 08:40:00,2020-02-19 08:50:00,2020-02-19 09:00:00,0.022467187,0.49570248,0.16418172419071198,0.07491934370253205,train
200500700,10,11,12,13,2020-02-19 07:00:00,2020,DJF,2020-02-19 08:40:00,2020-02-19 08:50:00,2020-02-19 09:00:00,2020-02-19 09:10:00,0.021257175,0.48844087,0.16132497787475586,0.06929357816263251,train
200500700,11,12,13,14,2020-02-19 07:00:00,2020,DJF,2020-02-19 08:50:00,2020-02-19 09:00:00,2020-02-19 09:10:00,2020-02-19 09:20:00,0.019899003,0.5417235,0.15807735919952393,0.06313339179681966,train
200500700,12,13,14,15,2020-02-19 07:00:00,2020,DJF,2020-02-19 09:00:00,2020-02-19 09:10:00,2020-02-19 09:20:00,2020-02-19 09:30:00,0.018792473,0.5417235,0.158020481467247,0.057252969353297,train
200500700,13,14,15,16,2020-02-19 07:00:00,2020,DJF,2020-02-19 09:10:00,2020-02-19 09:20:00,2020-02-19 09:30:00,2020-02-19 09:40:00,0.01801872,1.2455908,0.15912224352359772,0.053110311273230716,train
200500700,14,15,16,17,2020-02-19 07:00:00,2020,DJF,2020-02-19 09:20:00,2020-02-19 09:30:00,2020-02-19 09:40:00,2020-02-19 09:50:00,0.01781488,1.2455908,0.15977181494235992,0.052597410749032035,train
200500700,15,16,17,18,2020-02-19 07:00:00,2020,DJF,2020-02-19 09:30:00,2020-02-19 09:40:00,2020-02-19 09:50:00,2020-02-19 10:00:00,0.017979061,1.2455908,0.1583658903837204,0.054970024013069996,train
200500700,16,17,18,19,2020-02-19 07:00:00,2020,DJF,2020-02-19 09:40:00,2020-02-19 09:50:00,2020-02-19 10:00:00,2020-02-19 10:10:00,0.018429045,0.8004319,0.158107191324234,0.05872711002074916,train
200500700,17,18,19,20,2020-02-19 07:00:00,2020,DJF,2020-02-19 09:50:00,2020-02-19 10:00:00,2020-02-19 10:10:00,2020-02-19 10:20:00,0.01878207,1.0817585,0.1583467572927475,0.06136514033926756,train
